Name,ID,MF_PC_0,MF_PC_1,MF_PC_2,MF_PC_3,MF_PC_4,MF_PC_5,MF_PC_6,MF_PC_7,MF_PC_8,MF_PC_9,MF_PC_10,MF_PC_11,MF_PC_12,MF_PC_13,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Reaction_OCH2F,Reaction_SCF3,Reaction_CH2F,Reaction_Cy,Reaction_CH2CF3,Reaction_CF3,Reaction_P,Reaction_Si,Yield
3DPANB,OPS47,-1.422277422,0.464338628,-0.298509843,-0.343405693,-1.046663525,0.279075362,0.216532882,0.836793847,-0.155395725,2.58981245,-0.19676049,0.434569767,1.061100363,-0.497147592,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
CF3PhDPZ,OPS48,0.018789395,-1.657917385,-0.874814356,0.733092504,0.501078164,-1.098376693,-0.718923085,1.463441843,0.456589812,0.08257449,0.331427183,0.2131817,-1.500179427,-1.323152006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61
NapDPZ,OPS49,0.067535138,-1.947381545,-0.836142334,-0.124535681,0.009755666,-0.821421485,-0.667078904,1.033633839,-0.514411451,0.0343725,1.010173448,1.038346539,-0.001042172,-1.382784514,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68
5CzBN,OPS50,3.096459498,0.263398057,0.456609707,-0.670513802,-0.882250617,0.668427865,0.116607979,0.431053372,0.625493664,-0.435128464,-0.482540199,-0.15013076,-0.305425509,-0.032160591,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,59
2DPABz,OPS51,-1.901618102,0.800113946,0.128547666,-0.483025353,-1.241545319,-0.58512193,0.821932081,0.750842614,0.373077799,0.498730678,-0.046069406,0.446822156,0.000258822,0.505726873,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
DPABT,OPS52,-1.979411835,0.004255935,0.546740856,-0.966113579,-0.019101846,0.42659355,-0.109942577,-0.146679412,0.063456343,1.099675937,-0.479966975,0.047586987,0.92384492,1.035784341,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29
PhPTZ,OPS53,-0.147750623,-2.28663751,-1.287336158,-0.733197854,0.318156938,-1.30208306,-0.734608147,1.748200227,-0.55194166,-0.011222116,-0.729248928,-0.460616816,0.063641927,0.222374881,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51
ph_bPTZ,OPS54,-0.126728072,-2.89324577,-1.36061907,-0.652049627,0.62448563,-1.446064682,-0.614727661,1.652849495,-1.053119448,0.081939249,-0.663703606,-0.005584756,0.625392584,0.334311188,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77
perylene,OPS55,0.055834826,-0.902084481,-0.790856192,0.335599297,-0.760179097,0.480693686,-0.146557527,-0.259990038,0.195784945,-0.339752091,0.76914423,0.380661119,0.46296358,-0.656451385,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32
9_10_DCA,OPS56,1.312940127,0.352199144,-0.720328096,-0.513703866,-0.210259746,0.604776167,-0.084089819,0.227308348,0.389506103,-0.044135069,0.462854253,-0.114395986,-0.298333511,-0.17234603,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
Me_TAPB,OPS57,-0.757219436,0.107362778,0.063552528,0.232670939,-0.17398194,-0.660121878,-0.068346383,-1.16798979,-1.034626193,0.597772181,0.922454868,-0.217411722,-0.48817728,-0.501427197,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27
Et_bodipy,OPS58,0.297719134,0.110819968,-0.97722483,0.263806201,-1.293321476,-2.343960516,-3.971716785,-2.612810213,2.079133006,0.643296223,-1.123922011,0.530717097,-0.024013161,0.363857716,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
TPP+,OPS59,-0.390299503,-0.912573313,0.183137495,-0.615939931,-0.416940117,-0.049426643,-0.167077151,-0.36531738,-0.527886785,1.589956777,1.127046549,-0.13998245,-1.37895005,-0.514226683,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Acr+_Mes,OPS60,0.170805704,-0.539813078,-0.749721693,0.760578932,-1.642686169,0.498593764,-1.250860448,-0.441745295,-1.241694053,0.262421609,1.888683976,-1.360784757,-0.54167131,0.448557156,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
