Name,ID,smiles,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,yield
1CzTRZ,OPS18,C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C4)=N1,-0.174958254,0.04719466,1.619488355,0.853619425,1.304778293,0.006464369,1.667552877,14
1tBuCzTRZ,OPS19,CC(C1=CC(C2=C3C=CC(C(C)(C)C)=C2)=C(C=C1)N3C(C=C4)=CC=C4C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5)(C)C,0.021388502,0.091461268,1.223347473,0.931477522,1.095195344,-0.155470026,2.166857432,39
1DPATRZ,OPS20,C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6)=N1,0.165273859,0.306984317,0.694939735,1.567356046,0.264596251,0.434907661,1.632346344,41
1tBuDPATRZ,OPS21,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4)(C)C,0.319590137,0.356230919,0.472625868,1.65329164,0.119274741,0.384571427,1.85834873,53
1ClDPATRZ,OPS22,ClC(C=C1)=CC=C1N(C2=CC=C(Cl)C=C2)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,-0.123724022,0.1182979,0.870745805,1.534372932,0.455247408,0.363890649,1.502252313,41
1BrDPATRZ,OPS23,BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,-0.110531974,0.114977904,0.869426435,1.557932299,0.475245781,0.333064583,1.495341885,32
1OMeDPATRZ,OPS24,COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C(C=C3)=CC=C3C4=NC(C5=CC=CC=C5)=NC(C6=CC=CC=C6)=N4,0.509801057,0.407414185,0.362458462,1.686050378,0.004350757,0.422421153,1.986715154,42
1PhDPATRZ,OPS25,C1(C2=CC=CC=C2)=NC(C3=CC=CC=C3)=NC(C4=CC=C(N(C5=CC=C(C6=CC=CC=C6)C=C5)C7=CC=C(C8=CC=CC=C8)C=C7)C=C4)=N1,0.265901571,0.26714437,0.348275233,1.791282216,0.17287038,0.159033884,1.762204792,35
1PTZTRZ,OPS26,N(C1=C2C=CC=C1)(C3=CC=CC=C3S2)C(C=C4)=CC=C4C5=NC(C6=CC=CC=C6)=NC(C7=CC=CC=C7)=N5,0.334009352,-0.052405209,0.657007844,-0.964939302,1.637284575,-1.618732634,0.971196438,8
2DPABP,OPS27,O=C(C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6,0.208224712,0.533850685,0.853923836,1.661144762,0.523508521,0.244098217,-0.596790006,63
2tBuDPABP,OPS28,O=C(C1=CC=C(N(C2=CC=C(C=C2)C(C)(C)C)C3=CC=C(C=C3)C(C)(C)C)C=C1)C4=CC=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C4,0.39659488,0.643133874,0.658657057,1.792179715,0.42964949,0.15044941,-0.514571626,37
2MeDPABP,OPS29,O=C(C1=CC=C(N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C=C1)C4=CC=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C4,0.386777543,0.644240539,0.692630837,1.783204719,0.401118478,0.232392116,-0.444943835,30
2ClDPABP,OPS30,ClC(C=C1)=CC=C1N(C2=CC=C(C=C2)Cl)C(C=C3)=CC=C3C(C4=CC=C(N(C5=CC=C(C=C5)Cl)C6=CC=C(C=C6)Cl)C=C4)=O,-0.201649141,0.159244512,0.949578171,1.717911617,0.553372758,0.313554415,-0.584644406,71
2PhDPABP,OPS31,O=C(C1=CC=C(N(C2=CC=C(C3=CC=CC=C3)C=C2)C4=CC=C(C5=CC=CC=C5)C=C4)C=C1)C6=CC=C(N(C7=CC=C(C8=CC=CC=C8)C=C7)C9=CC=C(C%10=CC=CC=C%10)C=C9)C=C6,0.295046793,0.449190796,0.460091852,2.132780844,0.412050922,-0.058699592,-0.529256284,53
2CzPN,OPS32,N#CC(C=C(N1C(C=CC=C2)=C2C3=C1C=CC=C3)C(N4C(C=CC=C5)=C5C6=C4C=CC=C6)=C7)=C7C#N,-0.638520672,-0.520247925,0.56663099,-0.663379409,0.716826127,-0.378666349,1.15251663,0
2tBuCzPN,OPS33,N#CC(C=C(N1C(C=CC(C(C)(C)C)=C2)=C2C3=C1C=CC(C(C)(C)C)=C3)C(N4C(C=CC(C(C)(C)C)=C5)=C5C6=C4C=CC(C(C)(C)C)=C6)=C7)=C7C#N,-0.364248798,-0.410134737,0.107820027,-0.70399127,0.462980112,-0.549965625,1.522172143,0
1tBuDPAN,OPS34,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=CC=C3)(C)C,0.501210886,0.961576787,1.17222188,-0.477821351,0.501643633,0.652641137,-0.143397912,38
PNZN,OPS35,C1(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)=C(C=CC=C5)C5=CC=C1,0.669946379,0.654753859,0.570259258,-0.965163677,1.287713015,-1.209799511,-1.039266766,54
biphenylPNZN,OPS36,C1(N2C(C=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=C5)=C5OC6=C2C=CC(C7=CC=C(C8=CC=CC=C8)C=C7)=C6)=C(C=CC=C9)C9=CC=C1,0.692955765,0.573967299,0.346296178,-0.964041802,0.373387401,-0.136740265,-0.522974077,83
PTZN,OPS37,C1(N2C(C=CC=C3)=C3SC4=C2C=CC=C4)=C(C=CC=C5)C5=CC=C1,0.412241263,0.632067222,1.343080312,-0.964490552,1.269847802,-0.269409408,-1.059029541,39
biphenylPTZN,OPS38,C1(N2C(C=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=C5)=C5SC6=C2C=CC(C7=CC=C(C8=CC=CC=C8)C=C7)=C6)=C(C=CC=C9)C9=CC=C1,0.481269419,0.566497308,0.891525885,0.007501601,0.711226582,0.013878233,-0.747981781,63
CF3PTZN,OPS39,FC(C(C=C1)=CC=C1C2=CC(SC3=C4C=CC(C5=CC=C(C=C5)C(F)(F)F)=C3)=C(C=C2)N4C6=C(C=CC=C7)C7=CC=C6)(F)F,0.111892085,0.376704225,0.86348927,-0.150907092,0.673096351,0.036510028,-0.700315538,77
2DPAN,OPS40,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=C(C=CC=C4)C4=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C1,0.512868975,0.773997035,0.457123269,-0.062727748,-0.07164306,0.645617476,-0.744081578,62
2tBuDPAN,OPS41,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C3)(C)C,0.704920645,0.867786911,0.189620975,-0.024359637,-0.17936763,0.486804708,-0.693431286,50
2MeDPAN,OPS42,CC(C=C1)=CC=C1N(C2=CC=C(C=C2)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C3,0.74142887,0.881896892,0.071207505,-0.066766497,-0.264160731,0.47080637,-0.681652149,54
2DPAA,OPS43,C1(C=CC=C2)=C2C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C(C=CC=C5)C5=C1N(C6=CC=CC=C6)C7=CC=CC=C7,0.457032866,0.090354603,-1.254429634,-0.32412453,-1.93895781,1.353446375,-1.113396805,58
2tBuDPAA,OPS44,CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C7=C3C=CC=C7)(C)C,0.636199281,0.169204499,-1.562172717,-0.333997027,-1.996019835,1.072890158,-1.111093329,26
2MeDPAA,OPS45,CC(C=C1)=CC=C1N(C2=CC=C(C=C2)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C7=C3C=CC=C7,0.650925287,0.17888782,-1.581633427,-0.351722645,-2.001352734,1.057672227,-1.11279476,32
2OMeDPAA,OPS46,COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)OC)C6=CC=C(C=C6)OC)C7=C3C=CC=C7,0.913539073,0.232837748,-2.085632817,-0.39525138,-2.166139328,0.702587167,-1.113396805,29
3DPANB,OPS47,O=[N+](C(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5)=C5N(C6=CC=CC=C6)C7=CC=CC=C7)[O-],0.224484677,0.138217873,-0.51294362,-0.763450624,0.176870055,-0.865640145,-0.061022477,0
CF3PhDPZ,OPS48,FC(C(C=C1)=CC=C1N2C3=CC=CC=C3N(C4=CC=C(C=C4)C(F)(F)F)C5=C2C=CC=C5)(F)F,0.962012178,0.862253585,-0.116472896,-0.965163677,0.221933056,-0.462560072,-1.113396805,51
NapDPZ,OPS49,C12=CC=CC=C1N(C3=CC=C(C=CC=C4)C4=C3)C5=C(C=CC=C5)N2C6=CC=C(C=CC=C7)C7=C6,1.265429274,0.792257011,-0.170237229,-0.965163677,0.365121406,-0.735702426,-1.091827895,74
5CzBN,OPS50,N#CC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C1N%14C(C=CC=C%15)=C%15C%16=C%14C=CC=C%16,-0.226192485,-0.074815179,0.602913669,-0.345440148,1.057065113,-0.83364347,0.179873975,6
2DPABz,OPS51,O=C(C(C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3)=O)C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6,0.07875857,0.086757941,-1.088848683,-0.956861805,-0.704391583,-0.257313104,-1.02102219,0
DPABT,OPS52,C1(C2=NC3=C(C=CC=C3)S2)=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C1,0.236142766,0.519464037,0.721986823,1.953729658,0.095543338,0.714293268,0.468462846,34
PhPTZ,OPS53,C12=CC=CC=C1N(C3=CC=CC=C3)C4=C(C=CC=C4)S2,0.74817829,1.417522853,1.188054322,-0.940706811,0.789353559,0.25034147,-1.049684759,28
ph_bPTZ,OPS54,C1(C=CC=C2)=C2C=C(SC(C=CC=C3)=C3N4C5=CC=CC=C5)C4=C1,0.582817506,1.092439948,1.351326376,-0.464807605,0.758956032,0.487975318,0.112130846,71
perylene,OPS55,C1(C2=C3C4=CC=CC3=CC=C2)=C(C4=CC=C5)C5=CC=C1,0.349042151,0.08980127,-0.517231573,0.809641941,-2.061081208,2.404264029,-1.113396805,60
9_10_DCA,OPS56,N#CC1=C2C(C=CC=C2)=C(C#N)C3=CC=CC=C31,-1.022010429,-1.108993815,-0.2576455,-0.209917696,-2.261864873,3.005177207,-1.113396805,0
Me_TAPB,OPS57,CN(C)C1=CC=C(C2=CC(C3=CC=C(N(C)C)C=C3)=CC(C4=CC=C(N(C)C)C=C4)=C2)C=C1,0.613496687,1.766122393,3.39898882,-0.812139981,1.582889001,1.704629401,-1.078294975,24
Et_bodipy,OPS58,CC1=C2[N+]([B-](F)(F)N3C1=C(C)C(CC)=C3C)=C(C)C(CC)=C2C,0.085507989,-0.241644959,-1.243874673,1.200054301,-3.070865723,3.022346155,-0.744238633,2
TPP+,OPS59,C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=[O+]1,-4.9842266,-4.329112902,0.113757192,0.621840133,-0.447879118,0.78999272,0.06346992,1
Acr+_Mes,OPS60,C[N+]1=C(C=CC=C2)C2=C(C3=C(C)C=C(C)C=C3C)C4=CC=CC=C41,-4.448261315,-4.398002811,-0.927555684,-0.964939302,-1.366471052,0.902371289,-0.809285648,2
