,SD1,SD2,SD3,r2_train,r2_test,pr_train,pr_test,kt_train,kt_test
15,Reaction_CO_biphenyl,Reaction_CO_1.5h,Reaction_CO_Cl,0.9080369449239742,0.8142715111434026,0.962870295963537,0.9294318344883911,0.8421052631578948,0.7408147804701204
16,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_CN,0.9540472822277448,0.31093299860161416,0.9839396674573402,0.7999643703928179,0.8480753878296373,0.5891649892987402
17,Reaction_CO_Cl,Reaction_CO_biphenyl,Reaction_CO_1.5h,0.9323608207236259,0.825025144164546,0.9712761713529258,0.9091513328681833,0.7872785933040579,0.7356432985820218
18,Reaction_CO_biphenyl,Reaction_CO_Cl,Reaction_CO_1.5h,0.9707038900167184,0.6280760408702301,0.9889802067853274,0.8465589188356791,0.9418121247825694,0.6278613068826657
19,Reaction_CO_biphenyl,Reaction_CO_1.5h,Reaction_CO_Cl,0.9543903781628846,0.5964814333559859,0.9801714519184173,0.8426447519427385,0.8085563931230865,0.6701266454307535
20,Reaction_CO_Cl,Reaction_CO_1.5h,Reaction_CO_biphenyl,0.8920432138783349,0.7996612455775591,0.9549496536415625,0.9371728704042127,0.8571548551391924,0.7243565473731267
21,Reaction_CO_Cl,Reaction_CO_biphenyl,Reaction_CO_1.5h,0.9698996310863136,0.47157652518449644,0.9897636046391497,0.8349308168911644,0.8617508926706579,0.6451423655402969
22,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_Si,0.9574270441776808,0.5607721091781372,0.9863406336344657,0.8054238970154735,0.8085563931230865,0.5668315941119476
23,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_CO_Cl,0.931519764437435,0.773061758818416,0.9700303201675096,0.8989870079463842,0.8859696960278965,0.7166034450616912
24,Reaction_CO_Cl,Reaction_CO_biphenyl,Reaction_CN,0.9341959847937416,0.6550546791543488,0.9731557820301535,0.845273193374197,0.825408379022926,0.7244798999236064
25,Reaction_CO_biphenyl,Reaction_CO_Cl,Reaction_CO_1.5h,0.931459833280528,0.7534784038410741,0.9754200832042572,0.8817800265181179,0.9206478073717251,0.6830810484994002
26,Reaction_CO_biphenyl,Reaction_CO_1.5h,Reaction_CO_Cl,0.9738228503437815,0.5204664547314568,0.9901912866155036,0.8579467953713469,0.9390217736343575,0.6459851384215468
27,Reaction_CO_biphenyl,Reaction_CO_Cl,Reaction_CO_1.5h,0.9561990881338461,0.6889644160452928,0.9810192372575967,0.870781801197287,0.8878147909191582,0.6563504705345614
28,Reaction_CO_biphenyl,Reaction_CO_1.5h,Reaction_CO_Cl,0.9414369379376167,0.6486013917887294,0.9793469027538676,0.8826253637859978,0.8812695583819807,0.667556479215323
29,Reaction_CO_biphenyl,Reaction_CO_1.5h,Reaction_CO_Cl,0.9432879133199094,0.47094496064352265,0.9788996002439507,0.8760953275552947,0.8647488649853122,0.6632425521486419
30,Reaction_CO_Cl,Reaction_CO_1.5h,Reaction_CO_biphenyl,0.927439252134909,0.7111585742711568,0.9709140789938497,0.8706857660020735,0.8496071790389156,0.6649690510013102
31,Reaction_CO_biphenyl,Reaction_CO_Cl,Reaction_CO_1.5h,0.9766303941042692,0.5375279966440851,0.9929575941530961,0.825421503553188,0.9468620919467723,0.6210614960543208
